Empresa;Nombre en BALLES;agora_id (ENLACE);Nombre en AGORA;Precio venta;Categoria;Estado;Lineas escandallo;Escandallo cocina;Ventas
HABANA;Bot Ciroc;1640;(nunca vendido);123;Botellas;Activo;0;0;0
HABANA;Bot Ciroc Coco;1732;(nunca vendido);133.25;Botellas;Activo;0;0;0
HABANA;Bot Ciroc Manzana;1730;(nunca vendido);133.25;Botellas;Activo;0;0;0
HABANA;Bot Don Julio;2527;(nunca vendido);150;Botellas;Activo;0;0;0
HABANA;Bot Dyc 8;2214;(nunca vendido);87.15;Botellas;Activo;0;0;0
HABANA;Bot G' Vine;1641;(nunca vendido);123;Botellas;Activo;0;0;0
HABANA;Bot Gold Label;1642;(nunca vendido);153.75;Botellas;Activo;0;0;0
HABANA;Bot Jaggermeister;1645;(nunca vendido);102.5;Botellas;Activo;0;0;0
HABANA;Bot Jim Beam;2177;(nunca vendido);92.25;Botellas;Activo;0;0;0
HABANA;Bot Jose Cuervo;1659;(nunca vendido);92.25;Botellas;Activo;0;0;0
HABANA;Bot Larios 12;2182;(nunca vendido);82;Botellas;Activo;0;0;0
HABANA;Bot Larios Rose;2325;(nunca vendido);92.25;Botellas;Activo;0;0;0
HABANA;Bot Martin Millers;2189;(nunca vendido);123;Botellas;Activo;0;0;0
HABANA;Bot Pink Rives;1648;(nunca vendido);92.25;Botellas;Activo;0;0;0
HABANA;Bot Rives 1880;1739;(nunca vendido);82;Botellas;Activo;0;0;0
HABANA;Bot Rives Exotica;1737;(nunca vendido);92.25;Botellas;Activo;0;0;0
HABANA;Bot Santa Teresa;2521;(nunca vendido);92.25;Botellas;Activo;0;0;0
HABANA;Bot Smirnoff;1651;(nunca vendido);92.25;Botellas;Activo;0;0;0
HABANA;Bot White Label;2523;(nunca vendido);92.25;Botellas;Activo;0;0;0
HABANA;Bot Zacapa;1654;(nunca vendido);123;Botellas;Activo;0;0;0
HABANA;Burger Balles Hosteleros;;(nunca vendido);14.80;Delicateses para cenar;Inactivo;0;0;0
HABANA;Casper;1684;(nunca vendido);15;Shishas;Activo;1;0;0
HABANA;Catton Candy;1669;(nunca vendido);15.5;Shishas;Activo;1;0;0
HABANA;Chao Bella;2293;(nunca vendido);15.5;Shishas;Activo;1;0;0
HABANA;Cofrutos Melocoton;1546;(nunca vendido);3.3;Refrescos;Activo;1;0;0
HABANA;Cotton candy Ice 0%;2316;(nunca vendido);13;Vapers;Activo;1;0;0
HABANA;Cotton candy Ice 2%;2311;(nunca vendido);13;Vapers;Activo;1;0;0
HABANA;Ensaladilla rusa con pan suflado y huevas de tobiko;;(nunca vendido);10.70;Delicateses para cenar;Inactivo;0;0;0
HABANA;Fight;1697;(nunca vendido);15.5;Shishas;Activo;1;0;0
HABANA;Fuera de Carta Tabaco;1976;(nunca vendido);;Shishas;Activo;0;0;0
HABANA;Gyozas de pollo al curry con perlas de arroz;;(nunca vendido);14.80;Delicateses para cenar;Inactivo;0;0;0
HABANA;Hawai;1679;(nunca vendido);15.5;Shishas;Activo;1;0;0
HABANA;Huracan;2281;(nunca vendido);15.5;Shishas;Activo;1;0;0
HABANA;Kafayayo;1685;(nunca vendido);15.5;Shishas;Activo;1;0;0
HABANA;Lady Killer;1672;(nunca vendido);15;Shishas;Activo;1;0;0
HABANA;Love 66;1681;(nunca vendido);15.5;Shishas;Activo;1;0;0
HABANA;Mango Tango;1676;(nunca vendido);15;Shishas;Activo;1;0;0
HABANA;Menthol Mojito 0 %;2319;(nunca vendido);13;Vapers;Activo;1;0;0
HABANA;Menthol Mojito 2 %;2314;(nunca vendido);13;Vapers;Activo;1;0;0
HABANA;MissJossy;2294;(nunca vendido);15.5;Shishas;Activo;1;0;0
HABANA;Moet Chandon;1284;(nunca vendido);87.15;Champagne;Activo;1;0;0
HABANA;Moon Dream;1673;(nunca vendido);15;Shishas;Activo;1;0;0
HABANA;My amor;1686;(nunca vendido);15.5;Shishas;Activo;1;0;0
HABANA;Play;1675;(nunca vendido);15;Shishas;Activo;1;0;0
HABANA;Rives 1880;1738;(nunca vendido);;Gins;Activo;1;0;0
HABANA;Royal bliss tonica;1687;(nunca vendido);4.25;Refrescos;Activo;1;0;0
HABANA;Sabor Coco;1766;(nunca vendido);;Sabores;Activo;0;0;0
HABANA;Sabor Fresa;1768;(nunca vendido);;Sabores;Activo;0;0;0
HABANA;Sabor Jengibre;2012;(nunca vendido);;Sabores;Activo;0;0;0
HABANA;Sabor Mango;1767;(nunca vendido);;Sabores;Activo;0;0;0
HABANA;Sabor Maracuya;1765;(nunca vendido);;Sabores;Activo;0;0;0
HABANA;Sabor Melon;1761;(nunca vendido);;Sabores;Activo;0;0;0
HABANA;Sabor Piña;1762;(nunca vendido);;Sabores;Activo;0;0;0
HABANA;Sabor Platano;1763;(nunca vendido);;Sabores;Activo;0;0;0
HABANA;Sabor Sandia;1764;(nunca vendido);;Sabores;Activo;0;0;0
HABANA;Servilleta;2006;(nunca vendido);;Otros;Activo;0;0;0
HABANA;Sexy Sheba;2482;(nunca vendido);15.5;Shishas;Activo;1;0;0
HABANA;Skimo Watermelon;2173;(nunca vendido);15.5;Shishas;Activo;1;0;0
HABANA;Strawbeery Ice 0%;2315;(nunca vendido);13;Vapers;Activo;1;0;0
HABANA;Strawberry Watermelon Bubblegum 0%;2318;(nunca vendido);13;Vapers;Activo;1;0;0
HABANA;Strawberry Watermelon Bubblegum 2 %;2313;(nunca vendido);13;Vapers;Activo;1;0;0
HABANA;Tinto de Verano La Casera;2326;(nunca vendido);;Vinos tintos;Activo;1;0;0
HABANA;Tornado;1682;(nunca vendido);15;Shishas;Activo;1;0;0
HABANA;Torreznos con guacamole y pico de gallo;;(nunca vendido);14.90;Delicateses para cenar;Inactivo;0;0;0
HABANA;Triple Melon 0%;2317;(nunca vendido);13;Vapers;Activo;1;0;0
HABANA;Triple Melon 2 %;2312;(nunca vendido);13;Vapers;Activo;1;0;0
HABANA;White Cake;1671;(nunca vendido);15.5;Shishas;Activo;1;0;0
